id,ascl_id,bibcode,num_citations,credit,num_commas,num_semicolons,type
1737,1708.015,2012A&A...539A.148B,243,"Birnstiel, T.; Klahr, H.; Ercolano, B.",3,2,citation_method
1738,1708.015,2015ApJ...813L..14B,37,"Birnstiel, T.; Klahr, H.; Ercolano, B.",3,2,citation_method
1758,1710.011,2015JCAP...12..030D,35,"Dias, Mafalda; Frazer, Jonathan; Seery, David",3,2,described_in
1759,1710.011,2015JCAP...12..030D,35,"Dias, Mafalda; Frazer, Jonathan; Seery, David",3,2,citation_method
1771,1710.022,2017arXiv170906999T,21,"Tazzari, Marco; Beaujean, Frederik; Testi, Leonardo",3,2,described_in
1772,1710.022,2017arXiv170906999T,21,"Tazzari, Marco; Beaujean, Frederik; Testi, Leonardo",3,2,citation_method
1786,1711.020,2017AJ....154..243G,3,"Günther, Hans Moritz; Frost, Jason; Theriault-Shay, Adam",3,2,described_in
1818,1801.004,2018MNRAS.476.3861F,48,"Feeney, Stephen; Mortlock, Daniel; Dalmasso, Niccolò",3,2,described_in
1827,1804.015,2018PhRvD..97d3502Z,9,"Yu, Yu; Pen, Ue-Li; Zhu, Hong-Ming",3,2,described_in
1830,1805.032,1998PASP..110..660P,322,"Sun, Mouyuan; Grier, C. J.; Peterson, B. M.",3,2,citation_method
1831,1805.032,2018ascl.soft05032S,8,"Sun, Mouyuan; Grier, C. J.; Peterson, B. M.",3,2,citation_method
1840,1802.015,2018ApJ...855....5M,0,"Murray, Steven G.; Robotham, Aaron S. G.; Power, Chris",3,2,described_in
1841,1802.015,2018ApJ...855....5M,0,"Murray, Steven G.; Robotham, Aaron S. G.; Power, Chris",3,2,citation_method
1842,1802.015,2018ascl.soft02015M,0,"Murray, Steven G.; Robotham, Aaron S. G.; Power, Chris",3,2,citation_method
1843,1802.012,2016ApJ...820...88H,8,"Heller, René; Hippke, Michael; Jackson, Brian",3,2,described_in
1844,1802.012,2016ApJ...820...88H,8,"Heller, René; Hippke, Michael; Jackson, Brian",3,2,citation_method
1848,1802.011,2016JHEP...08..111D,59,"D'Eramo, Francesco; Kavanagh, Bradley J.; Panci, Paolo",3,2,described_in
1859,1804.004,2018A&C....25..103G,4,"González, Roberto E.; Muñoz, Roberto P. ; Hernández, Cristian A.",3,2,described_in
1863,1804.016,2018arXiv180204276G,14,"Gerosa, Davide; Hébert, François; Stein, Leo C.",3,2,described_in
1864,1804.016,2018arXiv180204276G,14,"Gerosa, Davide; Hébert, François; Stein, Leo C.",3,2,citation_method
1877,1803.014,2018A&A...614A.131Y,13,"Yurchenko, Sergei N.; Al-Refaie, Ahmed; Tennyson, Jonathan",3,2,described_in
1879,1807.021,2018CQGra..35b7002J,4,"Johnson, Daniel; Huerta, E. A.; Haas, Roland",3,2,described_in
1906,1804.014,2018arXiv180203537C,14,"Charnock, Tom; Lavaux, Guilhem; Wandelt, Benjamin D.",3,2,described_in
1907,1804.014,2018arXiv180203537C,14,"Charnock, Tom; Lavaux, Guilhem; Wandelt, Benjamin D.",3,2,citation_method
1909,1804.020,2017MNRAS.470.4794F,11,"Feng, F.; Tuomi, M.; Jones, H. R. A.",3,2,described_in
1910,1804.020,2017MNRAS.470.4794F,11,"Feng, F.; Tuomi, M.; Jones, H. R. A.",3,2,citation_method
1922,1805.009,2018arXiv180405591K,1,"Knollmüller, Jakob; Frank, Philipp; Ensslin, Torsten A.",3,2,described_in
1932,1805.018,2017arXiv171206121Y,2,"Yu, Hao-Ran; Pen, Ue-Li; Wang, Xin",3,2,described_in
1936,1903.010,2017A&A...607A.126Y,16,"Yan, Zhiqiang; Jerabkova, Tereza; Kroupa, Pavel",3,2,citation_method
1946,1806.002,2018arXiv180509034K,11,"Kavanagh, Bradley J.; Gaggero, Daniele; Bertone, Gianfranco",3,2,described_in
1949,1806.005,2018arXiv180302397C,3,"Cieślar, Marek; Bulik, Tomasz; Osłowski, Stefan",3,2,described_in
1950,1806.005,2018arXiv180302397C,3,"Cieślar, Marek; Bulik, Tomasz; Osłowski, Stefan",3,2,citation_method
1956,1806.009,2014MNRAS.445.2181C,9,"Coles, Jonathan P.; Read, Justin I.; Saha, Prasenjit",3,2,described_in
1963,1806.028,2018arXiv180305005P,3,"Pessa, Ismael; Tejos, Nicolas; Moya, Cristobal",3,2,described_in
1967,1806.026,2018PhRvD..97f4039V,29,"Visinelli, Luca; Bolis, Nadia; Vagnozzi, Sunny",3,2,described_in
1968,1806.026,2018PhRvD..97f4039V,29,"Visinelli, Luca; Bolis, Nadia; Vagnozzi, Sunny",3,2,citation_method
1969,1806.026,2018arXiv180407261B,29,"Visinelli, Luca; Bolis, Nadia; Vagnozzi, Sunny",3,2,citation_method
1970,1806.026,2013JCAP...02..001A,226,"Visinelli, Luca; Bolis, Nadia; Vagnozzi, Sunny",3,2,citation_method
1973,1806.031,2014PDU.....5...75M,522,"Martin, Jérôme; Ringeval, Christophe; Vennin, Vincent",3,2,described_in
1976,1807.001,2016A&A...593A..87R,21,"Reissl, S.; Wolf, S.; Brauer, R.",3,2,described_in
1977,1807.001,2016A&A...593A..87R,21,"Reissl, S.; Wolf, S.; Brauer, R.",3,2,citation_method
1978,1807.001,2017A&A...601A..90B,4,"Reissl, S.; Wolf, S.; Brauer, R.",3,2,citation_method
1989,1807.012,2017A&A...602A..72C,11,"Campagne, J.-E.; Neveu, J.; Plaszczynski, S.",3,2,described_in
1998,1807.026,2018PhRvD..97f4036R,4,"Ruchlin, Ian; Etienne, Zachariah B.; Baumgarte, Thomas W.",3,2,described_in
2015,1808.008,2018arXiv180408357R,4,"Rossi, Loïc; Stam, Daphne; Bersoza, Javier",3,2,described_in
2016,1808.008,2018arXiv180408357R,4,"Rossi, Loïc; Stam, Daphne; Bersoza, Javier",3,2,citation_method
2022,1808.011,2019A&C....27...23H,0,"Hancock, Paul J.; Hurley-Walker, N.; White, T.",3,2,described_in
2023,1808.011,2019A&C....27...23H,0,"Hancock, Paul J.; Hurley-Walker, N.; White, T.",3,2,citation_method
2054,1810.003,2004astro.ph..2121S,2,"Staff, Jan; Jorgensen, Michael; Ouyed, Rachid",3,2,described_in
2063,1810.015,2018arXiv181006250S,2,"Sridhar, S. S.; Heald, G.; van der Hulst, J. M.",3,2,described_in
2064,1810.016,2017A&A...598A...7M,31,"Möller, T.; Endres, C.; Schilke, P.",3,2,described_in
2065,1810.016,2017A&A...598A...7M,31,"Möller, T.; Endres, C.; Schilke, P.",3,2,citation_method
2067,1810.018,2007A&A...475..401H,4,"Huré, J.-M.; Pelat, D.; Pierens, A.",3,2,described_in
2068,1810.018,2007A&A...475..401H,4,"Huré, J.-M.; Pelat, D.; Pierens, A.",3,2,citation_method
2071,1812.008,2018arXiv181002721C,3,"Carrasco Kind, Matias; Drlica-Wagner, Alex; Koziol, Audrey",3,2,described_in
2089,1812.003,2018arXiv181202414B,0,"Barbuy, B.; Trevisan, J.; de Almeida, A.",3,2,described_in
2096,1812.011,2018MNRAS.478.2019Y,7,"Yuan, Sihan; Eisenstein, Daniel J.; Garrison, Lehman H.",3,2,described_in
2097,1812.011,2018MNRAS.478.2019Y,7,"Yuan, Sihan; Eisenstein, Daniel J.; Garrison, Lehman H.",3,2,citation_method
2103,1812.016,2018arXiv181208549E,5,"Espinoza, Néstor; Kossakowski, Diana; Brahm, Rafael",3,2,described_in
2104,1812.016,2018arXiv181208549E,5,"Espinoza, Néstor; Kossakowski, Diana; Brahm, Rafael",3,2,citation_method
2116,1902.008,2019arXiv190108626O,3,"Osborne, Christopher M. J.; Armstrong, John A.; Fletcher, Lyndsay",3,2,described_in
2125,1903.007,2016SoPh..291...55K,4,"Klimchuk, James A.; Patsourakos, Spiros; Tripathi, Durgesh",3,2,described_in
2126,1903.007,2016SoPh..291...55K,4,"Klimchuk, James A.; Patsourakos, Spiros; Tripathi, Durgesh",3,2,citation_method
2138,1904.014,2019ApJ...872..111C,0,"Cubillos, Patricio E.; Blecic, Jasmina; Dobbs-Dixon, Ian",3,2,described_in
2139,1904.014,2019ApJ...872..111C,0,"Cubillos, Patricio E.; Blecic, Jasmina; Dobbs-Dixon, Ian",3,2,citation_method
2143,1904.003,2005A&A...433...57T,40,"Trenti, M.; Bertin, G.; van Albada, T. S.",3,2,described_in
2191,1907.005,2017MNRAS.469..938O,15,"Onose, Alexandru; Dabbech, Arwa; Wiaux, Yves",3,2,described_in
2192,1906.015,2017MNRAS.468.1142B,2,"Birdi, Jasleen; Repetti, Audrey; Wiaux, Yves",3,2,described_in
4,9906.002,1997AJ....114.2043H,182,"Hakkila, Jon; Myers, Jeannette M.; Stidham, Brett J.; Hartmann, Dieter H.",4,3,described_in
16,9910.007,1999ApL&C..39..281R,21,"Preece, Robert D.; Briggs, Michael S.; Mallozzi, Robert S.; Brock, Martin N.",4,3,described_in
25,9912.002,1995ASPC...77..367B,174,"Blackburn, J. K.; Shaw, R. A.; Payne, H. E.; Hayes, J. J. E.; HEASARC",4,4,described_in
26,9912.002,1995ASPC...77..367B,174,"Blackburn, J. K.; Shaw, R. A.; Payne, H. E.; Hayes, J. J. E.; HEASARC",4,4,citation_method
55,1010.004,2010ApJ...723....1P,14,"Pietrobon, Davide; Balbi, Amedeo; Cabella, Paolo; Gorski, Krzysztof M.",4,3,described_in
94,1010.033,2009MNRAS.396..462K,160,"Kotulla, Ralf; Fritze, Uta; Weilbacher, Peter; Anders, Peter",4,3,described_in
95,1010.033,2009MNRAS.396..462K,160,"Kotulla, Ralf; Fritze, Uta; Weilbacher, Peter; Anders, Peter",4,3,citation_method
96,1010.034,2011A&A...528A..33R,61,"Refregier, Alexandre; Amara, Adam; Kitching, Thomas; Rassat, Anais",4,3,described_in
97,1010.034,2011A&A...528A..33R,61,"Refregier, Alexandre; Amara, Adam; Kitching, Thomas; Rassat, Anais",4,3,citation_method
119,1010.054,2008JCAP...02..001B,16,"Battefeld, Diana; Battefeld, Thorsten; Wesley, Daniel H.; Wyman, Mark",4,3,described_in
121,1010.058,2009ApJS..184..298W,56,"Wetzstein, M.; Nelson, Andrew F.; Naab, T.; Burkert, A.",4,3,described_in
122,1010.058,2009ApJS..184..298W,56,"Wetzstein, M.; Nelson, Andrew F.; Naab, T.; Burkert, A.",4,3,citation_method
123,1010.058,2009ApJS..184..326N,37,"Wetzstein, M.; Nelson, Andrew F.; Naab, T.; Burkert, A.",4,3,citation_method
148,1010.076,2003IAUS..208..331H,10,"Hut, Piet; McMillan, Steve; Makino, Jun; Portegies Zwart, Simon",4,3,described_in
149,1010.077,2005A&A...432..369S,818,"Schöier, Fredrik; van der Tak, Floris; van Dishoeck, Ewine; Black, John",4,3,described_in
197,1101.007,2011ApJ...730....3S,178,"Sharma, Sanjib; Bland-Hawthorn, Joss; Johnston, Kathryn V.; Binney, James",4,3,described_in
239,1103.003,2006PASA...23...82B,36,"Barnes, D. G.; Fluke, C. J.; Bourke, P. D.; Parry, O. T.",4,3,described_in
