ascl_id	credit	num_citations	bibcode
1109.022	Hubeny, Ivan; Lanz, Thierry	31	2011ascl.soft09022H
1109.023	Giocoli, Carlo; Meneghetti, Massimo; Bartelmann, Matthias; Moscardini, Lauro; Boldrin, Michele	1	2011ascl.soft09023G
1110.004	Wieczorek, Mark	1	2011ascl.soft10004W
1110.005	Feldmann, R.; Carollo, C. M.; Porciani, C.; Lilly, S. J.; Oesch, P.	1	2011ascl.soft10005F
1110.006	Bertin, Emmanuel	7	2011ascl.soft10006B
1110.007	Knödlseder, J.	1	2011ascl.soft10007K
1110.009	Shortridge, Keith	1	2011ascl.soft10009S
1110.012	Various	1	2011ascl.soft10012V
1110.016	Rein, Hanno; Liu, Shang-Fei	1	2011ascl.soft10016R
1110.017	Colombi, Stephane; Novikov, Dmitri	5	2011ascl.soft10017C
1111.001	Herschel Science Ground Segment Consortium	1	2011ascl.soft11001H
1111.005	Dubernet, Marie-Lise; Nenadovic, Ljerka	1	2011ascl.soft11005D
1111.006	NASA/IPAC Infrared Science Archive; JPL; Caltech; NASA	1	2011ascl.soft11006N
1111.008	Malapert, Jean-Christophe; Marseille, Matthieu	1	2011ascl.soft11008M
1111.014	Pál, András	1	2011ascl.soft11014P
1111.015	N-Body Shop	1	2011ascl.soft11015N
1112.001	Devillard, Nicolas	1	2011ascl.soft12001D
1112.002	Mandel, Eric; Murray, Stephen S.; Roll, John	1	2011ascl.soft12002M
1112.004	Biffi, Veronica; Dolag, Klaus; Boehringer, Hans; Lemson, Gerard	1	2011ascl.soft12004B
1112.013	Downey, Elwood Charles	3	2011ascl.soft12013D
1112.014	Rhodes, Brandon Craig	7	2011ascl.soft12014R
1112.019	Centre de Données Astronomiques de Strasbourg (Cds)	1	2011ascl.soft12019C
1201.003	Portegies Zwart, S. F.; Verbunt, F.	9	2012ascl.soft01003P
1201.007	Bassett, Bruce A.; Fantaye, Yabebal; Hlozek, Renee; Kotze, Jacques	1	2012ascl.soft01007B
1201.008	Chambers, John E.	6	2012ascl.soft01008C
1201.010	Rauch, Kevin P.; Hamilton, Douglas P.	5	2012ascl.soft01010R
1201.015	Frigo, Matteo; Johnson, Steven G.	9	2012ascl.soft01015F
1202.002	Kuchner, Marc	2	2012ascl.soft02002K
